167 22            //total_items  *  Total_Types
ITEMS < Item_name  description effect.vc#  <effecttype> value>
0 5      0       1
Platinum 5000	32 0 0 0 1 1 1 0 1 1 1 3 1 4 0		1 3 4	0
Crystal	 15000	48 1 0 0 2 2 2 1 2 2 2 4 4 2 5		1 2 3	0
//
HOODS	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
132 135 5       17
Turbin	50	1 0 0 0 0 0 0 0 1 0 0 0 1 0 0		1 2 3 4	0
Thief	400	3 1 0 0 0 0 0 2 0 0 0 1 2 0 0		1 2 3 4	0
Shadow	800	5 0 0 0 1 1 1 0 0 0 0 3 1 1 0		1 2 3 4	0
White	1000	5 0 50 0 1 0 0 0 1 0 1 2 2 1 0		1 2 3 4	0
//
RINGS	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
136 145 9       18
Ruby    100     1 0 0 0 0 0 0 0 1 1 1 0 0 0 0           1 2 3 4 0
Iron	250	3 0 0 0 1 1 0 0 0 0 0 0 0 0 0		1 2 3 4	0
Silver	500	5 0 0 0 0 0 1 0 2 0 1 0 1 0 0		1 2 3 4	0
Thief	750	6 2 0 0 0 0 1 3 0 0 0 0 2 0 0		1 2 3 4	0
Cure	1250	7 0 0 0 0 1 1 0 1 1 4 0 1 0 0		1 2 3 4	0
Flame	1500	8 0 0 0 0 0 0 0 2 3 2 1 1 0 1		1 3 4	0
Cold	1500	8 0 0 0 0 0 0 0 2 2 3 1 1 0 4		2 3 4	0
Black	3000	10 0 50 0 2 2 1 0 2 2 2 2 0 0 6		1 2 3 4	0
Mana	7500	12 0 0 200 0 0 0 0 5 5 5 1 1 0 7	1 2 3 4	0
Crystal	10000	15 0 200 0 2 2 2 2 2 2 2 2 2 0 5	1 2 3 4	0
//
GLOVES	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
146 155 6       19
Leather	 100	3 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1 2 3 4	0
Iron	 350	5 0 0 0 0 0 0 0 0 0 0 1 0 1 0		1 2 3 4	0
Silver	 1000	10 0 0 0 0 0 1 0 1 0 0 1 0 2 0		1 2 3 4	0
Cold	 2000	15 0 0 0 0 0 0 0 1 0 1 1 1 1 4		2 3 4	0
Quake	 2100	16 0 0 0 2 1 1 0 0 0 0 2 0 1 3		1 2 3	0
Zeus	 2200	17 0 0 0 1 0 0 0 2 1 1 2 0 1 2		1 2 4	0
Flame	 2300	18 0 0 0 1 0 0 0 1 2 1 2 1 1 1		1 3 4	0
Gold	 2500	20 0 0 0 1 1 1 -1 0 0 0 4 1 4 0		1 3	0
Platinum 5000	28 0 0 0 1 1 1 0 1 1 1 3 2 3 0		1 3	0
Crystal	 12000	35 0 0 0 2 2 2 0 2 2 2 4 4 3 5		1 3	0
//
BOOTS	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
156 160 7       20
Leather	100	2 0 0 0 0 0 0 0 0 0 0 0 0 1 0		1 2 3 4	0
Steel	400	4 0 0 0 0 0 0 0 0 0 0 1 0 3 0		1 2 3 4	0
Combat	800	8 0 0 0 1 1 0 0 0 0 0 2 0 2 0		1 2 3 4	0
Silver	900	8 0 0 0 0 0 1 0 1 1 1 2 1 3 0		1 3	0
Winged	1500	9 1 0 0 0 0 0 2 1 0 0 2 2 1 2		1 2 3 4	0
//
AMULETS	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
161 166 9       21
Red	1000	2 1 0 0 1 0 0 1 2 3 1 2 1 0 1		1	0
Blue	1000	2 1 0 0 1 1 1 0 2 1 2 1 2 0 4		4	0
Green	1000	2 1 0 0 3 2 2 0 0 1 0 3 0 0 3		3	0
Yellow	1000	2 1 0 0 0 0 1 2 2 1 2 0 3 0 2		2	0
Magic	3000	5 2 0 150 0 0 0 0 4 4 4 1 1 0 7		1 2 3 4	0
Crystal	10000	10 2 150 150 2 2 2 1 2 2 2 2 2 0 5	1 2 3 4	0
//
