Sam
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
24936    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3 0
26980    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
29025   7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   1 1  1 2 0
31071   9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
33118   8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   1 1  2 3 0
35166   7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
38115   9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
40265   8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
43316   7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    1 1   1 1  1 2 0
46368   9 13    9 12    3 3    1 2    2 2   1 3    1 2    2 3    0 0   0 0  1 3 0
49421   8 12    9 13    2 3    1 3    2 2   1 2    3 3    1 2    0 0   1 1  2 3 0
61475   7 11    9 13    1 2    2 3    2 3   0 1    2 3    1 3    0 0   0 0  1 2 0
71475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
81475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
91475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
101475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
111475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
121475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
131475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
146475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
161475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
176475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
191475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
211475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
231475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
251475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
271475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
291475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
311475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
333333   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
355555   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
377777   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
399999   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
419999   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
449999   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
475555   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
500000   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
531475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
571475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
641475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
691475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
741475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
791475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
841475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
891475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
941475   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
999999   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
1100000   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
1200000   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
1300000   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
1400000   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
5000000   12 15   12 15   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 2  3 5 0
